                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3167,                 3.9343,                 1.3335,                0.27324,                0.19931,                0.07357,                0.04008,                 1.3085,                 78.757,                0.72013,             0.00019503,             0.00019503,             0.00019503
                      2,                 2.0798,                 2.4459,                 1.1633,                0.15131,                0.52566,                0.06504,                0.04024,                 1.2539,                    105,                0.70653,             0.00038716,             0.00038716,             0.00038716
                      3,                 2.0184,                  2.144,                 1.1387,                0.15895,                0.54088,                0.07304,                0.04424,                 1.2033,                 114.92,                0.68949,             0.00057541,             0.00057541,             0.00057541
                      4,                 1.9333,                  1.934,                 1.1239,                 0.1486,                0.49147,                0.06682,                0.03919,                 1.1555,                  98.96,                0.68687,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.8933,                 1.7549,                 1.1091,                 0.1792,                0.61255,                0.10597,                0.07242,                 1.1355,                 158.01,                0.67858,             0.00056472,             0.00056472,             0.00056472
                      6,                 1.8646,                 1.6819,                 1.1008,                 0.0723,                0.68741,                0.09079,                0.06212,                 1.0903,                    149,                0.65169,             0.00055889,             0.00055889,             0.00055889
                      7,                  1.822,                 1.5693,                 1.0863,                0.23422,                0.29483,                0.15002,                0.09305,                 1.1242,                 159.28,                 0.6627,             0.00055307,             0.00055307,             0.00055307
                      8,                 1.8132,                  1.532,                 1.0879,                  0.175,                0.64253,                0.14452,                0.09852,                 1.0943,                 154.92,                0.65487,             0.00054725,             0.00054725,             0.00054725
                      9,                 1.8076,                 1.4659,                 1.0856,                0.07417,                0.73908,                0.08074,                0.05197,                 1.0598,                 159.36,                0.65185,             0.00054143,             0.00054143,             0.00054143
                     10,                 1.7896,                 1.4211,                 1.0768,                0.17664,                  0.633,                0.10698,                0.07485,                 1.0756,                 179.12,                0.65706,             0.00053561,             0.00053561,             0.00053561
                     11,                 1.7684,                 1.3833,                   1.07,                0.07187,                0.65289,                0.09736,                0.06217,                 1.1136,                 139.29,                0.65888,             0.00052979,             0.00052979,             0.00052979
                     12,                 1.7583,                 1.3626,                 1.0657,                0.06275,                0.59636,                0.08935,                0.05548,                 1.0566,                 163.73,                0.64835,             0.00052397,             0.00052397,             0.00052397
                     13,                 1.7416,                 1.3213,                 1.0659,                0.09972,                0.86721,                0.16339,                0.08677,                 1.0883,                 189.01,                0.65091,             0.00051815,             0.00051815,             0.00051815
                     14,                 1.7203,                 1.3086,                 1.0577,                0.07735,                0.70999,                0.10079,                0.06477,                 1.0932,                 155.57,                0.65578,             0.00051232,             0.00051232,             0.00051232
                     15,                 1.7175,                 1.2757,                 1.0563,                0.06877,                0.73166,                 0.1084,                0.07176,                 1.0551,                 151.24,                0.64139,              0.0005065,              0.0005065,              0.0005065
                     16,                 1.6979,                 1.2595,                 1.0536,                0.07383,                0.61707,                0.11676,                 0.0845,                 1.0442,                 165.19,                0.64051,             0.00050068,             0.00050068,             0.00050068
                     17,                 1.7101,                 1.2456,                 1.0516,                0.07596,                0.77321,                0.13643,                0.09316,                 1.0459,                 228.25,                0.64029,             0.00049486,             0.00049486,             0.00049486
                     18,                 1.6849,                 1.2136,                 1.0492,                0.07495,                 0.7266,                0.14119,                0.10283,                 1.0659,                 157.16,                0.64817,             0.00048904,             0.00048904,             0.00048904
                     19,                  1.686,                 1.2217,                 1.0451,                0.07928,                 0.7467,                0.14639,                0.10282,                 1.0568,                 163.47,                0.64818,             0.00048322,             0.00048322,             0.00048322
                     20,                 1.6632,                 1.1844,                 1.0417,                0.08253,                0.84717,                0.13413,                0.08636,                 1.0322,                 175.43,                0.63888,              0.0004774,              0.0004774,              0.0004774
                     21,                 1.6603,                 1.1882,                 1.0389,                0.07127,                0.77239,                0.15389,                0.11397,                 1.0446,                  170.6,                0.64419,             0.00047158,             0.00047158,             0.00047158
                     22,                 1.6588,                   1.17,                  1.033,                0.07256,                0.76896,                0.10926,                0.07129,                  1.041,                 175.93,                0.64088,             0.00046575,             0.00046575,             0.00046575
                     23,                 1.6593,                 1.1403,                 1.0403,                0.07615,                0.74707,                0.10861,                0.07717,                 1.0467,                 184.86,                0.64005,             0.00045993,             0.00045993,             0.00045993
                     24,                 1.6492,                 1.1522,                 1.0341,                0.07549,                 0.7741,                 0.0975,                0.06716,                 1.0507,                 138.65,                0.64515,             0.00045411,             0.00045411,             0.00045411
                     25,                 1.6274,                 1.1193,                 1.0269,                0.07601,                0.69626,                0.13518,                0.09503,                 1.0671,                 179.97,                0.64871,             0.00044829,             0.00044829,             0.00044829
                     26,                  1.626,                 1.1427,                 1.0285,                0.07029,                0.73705,                0.08731,                0.06072,                  1.031,                 177.44,                0.63657,             0.00044247,             0.00044247,             0.00044247
                     27,                  1.609,                 1.1084,                 1.0249,                0.07504,                0.90864,                0.12452,                0.08261,                 1.0679,                 193.05,                 0.6416,             0.00043665,             0.00043665,             0.00043665
