                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2397,                 3.6791,                 1.3656,                   2.39,                 4.6568,                 1.2244,                0.38042,                0.27636,                0.23322,                0.14556,                 2.0787,                 2.4215,                 1.2127,                 2.1694,                  3.637,                 1.1116,              0.0033169,              0.0033169,              0.0033169
                      2,                 2.0908,                  2.235,                 1.2501,                 2.2108,                 3.4171,                 1.1379,                0.54522,                0.43266,                0.43046,                0.28063,                 1.9532,                 1.9939,                 1.2104,                 2.0847,                 3.2015,                 1.1203,              0.0066371,              0.0066371,              0.0066371
                      3,                 2.0505,                 2.0312,                 1.2389,                 2.2033,                 3.2037,                 1.1321,                0.57043,                0.49273,                0.52914,                0.32449,                 1.9555,                 1.9545,                 1.2199,                 2.0861,                 3.0045,                 1.1283,               0.009944,               0.009944,               0.009944
                      4,                 2.0252,                 1.8847,                 1.2075,                 2.2091,                 2.9169,                 1.1224,                0.58492,                0.55601,                 0.5598,                0.34143,                 1.9255,                 1.8893,                 1.1837,                 2.1632,                 2.8731,                 1.1407,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9667,                 1.7868,                 1.1992,                 2.1899,                 2.6994,                 1.1239,                0.60069,                0.56968,                0.57849,                0.36889,                 1.8739,                 1.7729,                 1.1671,                 2.0655,                  2.638,                 1.1145,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.9301,                 1.6319,                 1.1859,                 2.1427,                 2.4129,                 1.1138,                0.65367,                0.54364,                  0.574,                0.36945,                 1.9532,                 1.7328,                 1.2075,                 2.1174,                 2.4831,                 1.1383,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.9156,                 1.5678,                 1.1749,                 2.1436,                 2.2167,                 1.1052,                0.68874,                0.56806,                0.64765,                0.41296,                 1.8095,                 1.4008,                 1.1535,                 2.0256,                 2.0371,                 1.1093,               0.009901,               0.009901,               0.009901
                      8,                 1.8692,                 1.4692,                  1.161,                 2.1044,                 2.0556,                 1.0987,                 0.7077,                0.62284,                 0.7352,                0.45916,                 1.8059,                 1.4147,                 1.1353,                 2.0276,                 1.9316,                 1.1033,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.8571,                 1.4395,                 1.1632,                 2.1138,                 1.9332,                 1.1089,                0.73772,                0.64248,                0.72293,                0.47065,                 1.7657,                 1.3675,                 1.1254,                 1.9952,                 1.9211,                 1.0911,              0.0098614,              0.0098614,              0.0098614
                     10,                  1.831,                 1.3776,                 1.1451,                 2.1121,                 1.8421,                  1.096,                 0.6106,                 0.7461,                0.76762,                 0.5037,                 1.8181,                  1.343,                 1.1501,                 2.0226,                 1.8263,                 1.1072,              0.0098416,              0.0098416,              0.0098416
