                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2834,                 4.2179,                 1.3541,                0.46044,                0.21252,                0.04479,                 0.0269,                 1.3624,                 83.662,                0.74601,              0.0033168,              0.0033168,              0.0033168
                      2,                 2.1219,                 2.7066,                 1.1834,                0.14987,                0.42197,                0.04685,                0.02724,                 1.2749,                 138.42,                0.70778,               0.006637,               0.006637,               0.006637
                      3,                   2.08,                 2.3753,                 1.1533,                0.14688,                0.40948,                0.05135,                0.03105,                 1.2196,                  127.4,                0.70483,               0.009944,               0.009944,               0.009944
                      4,                 2.0215,                 2.1777,                 1.1467,                0.14727,                0.31837,                0.06631,                0.03983,                 1.2362,                 158.96,                0.71998,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9747,                 1.9567,                  1.136,                0.19199,                0.45214,                0.13692,                0.08999,                 1.1796,                 107.29,                0.69653,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.9353,                 1.8513,                 1.1275,                0.06629,                0.49661,                0.11946,                0.07782,                 1.1322,                 161.01,                0.68899,               0.009901,               0.009901,               0.009901
                      7,                  1.897,                 1.7232,                 1.1138,                0.19656,                0.47481,                0.17596,                0.12101,                 1.1633,                 205.18,                 0.6925,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.8861,                 1.6725,                 1.1142,                0.34478,                0.25917,                0.16847,                 0.1156,                 1.1732,                 116.81,                0.68431,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.8629,                 1.5921,                  1.107,                0.29384,                0.44917,                 0.1696,                0.11446,                 1.1373,                 132.82,                0.67888,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.8568,                 1.5399,                  1.102,                0.08134,                0.69699,                0.14514,                0.10286,                  1.106,                 166.71,                0.67335,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.8322,                 1.4912,                 1.0952,                0.07243,                0.72741,                0.12571,                0.07956,                 1.1103,                 163.92,                0.67411,               0.009802,               0.009802,               0.009802
                     12,                 1.8148,                 1.4653,                 1.0889,                0.07683,                0.74091,                0.12857,                0.08427,                 1.0908,                 143.68,                0.66818,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.8131,                 1.4208,                 1.0872,                0.07419,                    0.6,                0.11585,                0.08028,                 1.0813,                 171.12,                0.65736,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.7937,                 1.4036,                 1.0791,                0.08579,                0.42292,                0.20328,                0.14381,                 1.0785,                 147.52,                0.66879,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.7797,                 1.3634,                 1.0752,                0.06426,                0.73246,                0.18005,                0.11947,                 1.0834,                 156.52,                0.67209,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.7639,                 1.3376,                 1.0725,                0.07468,                0.71028,                0.10756,                0.06892,                 1.0946,                 166.06,                0.66312,               0.009703,               0.009703,               0.009703
                     17,                 1.7766,                 1.3207,                 1.0714,                0.07317,                0.64623,                0.11192,                0.07756,                 1.0487,                 171.85,                0.65522,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.7484,                 1.2919,                 1.0665,                0.08584,                0.88272,                0.13934,                0.09319,                 1.0907,                 149.37,                  0.664,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.7435,                 1.3006,                 1.0605,                 0.1027,                0.64573,                0.19186,                0.13646,                 1.0552,                 187.24,                 0.6609,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.7277,                 1.2564,                 1.0572,                0.07423,                0.73773,                0.11805,                0.07929,                 1.0339,                 148.03,                0.65059,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.7295,                 1.2629,                 1.0586,                 0.0755,                0.87971,                0.15757,                 0.1139,                 1.0537,                 176.54,                0.65368,               0.009604,               0.009604,               0.009604
                     22,                 1.7213,                 1.2348,                 1.0498,                  0.079,                0.73997,                0.11904,                0.08501,                 1.0429,                  147.8,                0.65092,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.7239,                 1.2134,                 1.0588,                0.08282,                0.91638,                0.13675,                0.09218,                 1.0524,                 162.19,                0.65123,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.7125,                 1.2257,                 1.0509,                 0.0738,                0.75237,                0.16866,                0.11479,                 1.0525,                 147.83,                0.65515,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.6826,                 1.1857,                 1.0458,                0.24959,                0.38299,                0.18034,                0.12397,                 1.0425,                 194.78,                0.65598,              0.0095248,              0.0095248,              0.0095248
