                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2268,                 2.2397,                 2.4519,                 1.1377,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 557.31,                      0,              0.0033306,              0.0033306,              0.0033306
                      2,                 1.2183,                 2.1446,                 1.7408,                 1.1244,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 470.78,                      0,              0.0066309,              0.0066309,              0.0066309
                      3,                 1.2756,                 2.2195,                 1.5923,                 1.1568,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  593.3,                      0,              0.0098983,              0.0098983,              0.0098983
                      4,                 1.3051,                 2.2581,                 1.4491,                 1.1763,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 456.32,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2607,                  2.188,                 1.3099,                 1.1536,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 523.08,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.2313,                 2.1384,                 1.2258,                 1.1353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  504.2,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                  1.204,                 2.0989,                 1.1655,                 1.1232,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 585.79,                      0,               0.009703,               0.009703,               0.009703
                      8,                 1.1864,                 2.0721,                 1.1355,                 1.1132,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 610.93,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1707,                 2.0435,                 1.0987,                  1.107,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 589.34,                      0,               0.009604,               0.009604,               0.009604
                     10,                 1.1544,                 2.0205,                  1.068,                 1.0997,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    569,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1407,                 2.0012,                 1.0439,                 1.0891,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 624.08,                      0,               0.009505,               0.009505,               0.009505
                     12,                 1.1353,                  1.988,                 1.0295,                 1.0864,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 604.86,                      0,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1258,                 1.9712,                 1.0172,                 1.0845,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 642.84,                      0,               0.009406,               0.009406,               0.009406
                     14,                 1.1148,                 1.9509,                0.99424,                 1.0778,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 657.39,                      0,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.113,                  1.952,                0.98642,                 1.0751,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 655.85,                      0,               0.009307,               0.009307,               0.009307
                     16,                 1.1084,                 1.9433,                0.97803,                  1.074,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 668.83,                      0,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1012,                 1.9309,                0.96673,                 1.0684,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 674.31,                      0,               0.009208,               0.009208,               0.009208
                     18,                 1.0928,                 1.9236,                0.95687,                 1.0658,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  672.8,                      0,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0895,                  1.914,                0.94858,                 1.0647,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 675.24,                      0,               0.009109,               0.009109,               0.009109
                     20,                 1.0828,                 1.9072,                0.93996,                  1.062,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 689.43,                      0,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0796,                 1.9015,                0.92962,                 1.0583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 702.46,                      0,                0.00901,                0.00901,                0.00901
                     22,                 1.0781,                 1.8958,                0.92804,                 1.0577,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 705.23,                      0,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.0776,                  1.894,                  0.925,                 1.0561,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 718.86,                      0,               0.008911,               0.008911,               0.008911
                     24,                  1.069,                 1.8868,                0.91812,                  1.054,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 720.72,                      0,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0663,                 1.8772,                0.90848,                 1.0498,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 733.33,                      0,               0.008812,               0.008812,               0.008812
                     26,                 1.0619,                 1.8649,                0.89883,                 1.0501,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 724.94,                      0,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.0566,                 1.8668,                 0.8944,                 1.0483,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 735.03,                      0,               0.008713,               0.008713,               0.008713
                     28,                 1.0563,                 1.8601,                 0.8951,                 1.0458,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 739.19,                      0,              0.0086635,              0.0086635,              0.0086635
                     29,                  1.057,                 1.8558,                0.88671,                 1.0443,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 744.49,                      0,               0.008614,               0.008614,               0.008614
                     30,                 1.0536,                 1.8534,                 0.8855,                 1.0432,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 741.15,                      0,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.0487,                 1.8473,                0.87993,                 1.0421,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 750.31,                      0,               0.008515,               0.008515,               0.008515
                     32,                 1.0459,                  1.852,                0.87886,                 1.0422,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 755.42,                      0,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.0465,                 1.8423,                0.87422,                 1.0394,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 759.53,                      0,               0.008416,               0.008416,               0.008416
                     34,                 1.0463,                 1.8429,                0.87062,                 1.0401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 759.95,                      0,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.0385,                  1.835,                 0.8614,                 1.0359,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 764.84,                      0,               0.008317,               0.008317,               0.008317
                     36,                 1.0421,                 1.8356,                0.86352,                 1.0384,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 769.11,                      0,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0338,                 1.8239,                0.85974,                 1.0343,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 776.41,                      0,               0.008218,               0.008218,               0.008218
                     38,                 1.0336,                 1.8203,                0.85642,                 1.0346,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 778.35,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.036,                 1.8226,                0.85467,                 1.0353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 781.96,                      0,               0.008119,               0.008119,               0.008119
                     40,                 1.0325,                 1.8199,                 0.8534,                 1.0343,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 785.32,                      0,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.0325,                 1.8149,                0.84791,                 1.0328,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 786.49,                      0,                0.00802,                0.00802,                0.00802
                     42,                 1.0263,                 1.8009,                0.84716,                  1.032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 789.21,                      0,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0213,                 1.7988,                0.83862,                 1.0282,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 792.51,                      0,               0.007921,               0.007921,               0.007921
                     44,                 1.0273,                 1.8062,                0.84602,                   1.03,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  795.5,                      0,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0216,                 1.8004,                0.83794,                 1.0289,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 799.22,                      0,               0.007822,               0.007822,               0.007822
                     46,                 1.0204,                 1.7978,                0.83203,                 1.0277,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 800.94,                      0,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0169,                 1.7918,                0.83119,                 1.0267,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 803.24,                      0,               0.007723,               0.007723,               0.007723
                     48,                 1.0178,                 1.7955,                 0.8336,                 1.0277,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 805.58,                      0,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0135,                 1.7875,                0.82549,                 1.0245,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 807.04,                      0,               0.007624,               0.007624,               0.007624
                     50,                 1.0156,                 1.7979,                0.82923,                 1.0243,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 810.15,                      0,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.011,                 1.7867,                0.82581,                  1.025,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 811.75,                      0,               0.007525,               0.007525,               0.007525
                     52,                 1.0117,                  1.788,                0.82619,                 1.0248,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 812.92,                      0,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0096,                 1.7793,                0.82247,                 1.0236,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    814,                      0,               0.007426,               0.007426,               0.007426
                     54,                 1.0108,                 1.7835,                0.81973,                 1.0215,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 815.16,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                  1.007,                 1.7807,                0.81802,                 1.0201,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 815.83,                      0,               0.007327,               0.007327,               0.007327
                     56,                 1.0065,                 1.7816,                0.81661,                 1.0215,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 816.24,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.0093,                 1.7777,                0.81724,                 1.0215,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  816.7,                      0,               0.007228,               0.007228,               0.007228
                     58,                 1.0089,                 1.7741,                0.81105,                 1.0213,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 817.24,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0045,                 1.7737,                0.80858,                 1.0186,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 818.26,                      0,               0.007129,               0.007129,               0.007129
                     60,                  1.002,                 1.7664,                 0.8074,                 1.0177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  818.4,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.0032,                 1.7656,                0.80712,                 1.0192,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 818.58,                      0,                0.00703,                0.00703,                0.00703
