                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2268,                 2.2397,                 2.4519,                 1.1377,                0.40482,                0.30543,                0.27017,                0.18183,                0.39681,                0.29738,                0.26277,                0.15108,                 1.1186,                 2.0603,                 1.3686,                 1.1285,              0.0033306,              0.0033306,              0.0033306
                      2,                 1.2183,                 2.1446,                 1.7408,                 1.1244,                0.52753,                0.39207,                0.40433,                0.26865,                0.52619,                0.37937,                0.39039,                0.22702,                 1.1717,                 2.1068,                 1.2954,                 1.1635,              0.0066309,              0.0066309,              0.0066309
                      3,                 1.2756,                 2.2195,                 1.5923,                 1.1568,                0.47742,                0.39234,                0.38395,                0.24376,                0.47469,                0.37875,                0.37013,                0.20125,                 1.2561,                 2.2718,                 1.3816,                 1.2235,              0.0098983,              0.0098983,              0.0098983
                      4,                 1.3051,                 2.2581,                 1.4491,                 1.1763,                0.55376,                0.40796,                0.42892,                0.27821,                0.53319,                0.40082,                0.41444,                0.23634,                 1.2306,                 2.2195,                 1.2872,                 1.2116,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2607,                  2.188,                 1.3099,                 1.1536,                 0.6017,                0.43904,                0.47216,                0.31509,                0.57947,                0.43209,                0.44972,                0.26176,                 1.1717,                 2.1557,                 1.1651,                 1.1683,               0.009802,               0.009802,               0.009802
                      6,                 1.2313,                 2.1384,                 1.2258,                 1.1353,                0.62926,                0.45503,                0.49801,                0.33957,                0.62921,                0.43399,                0.47888,                0.28355,                 1.1464,                 2.0831,                 1.1243,                 1.1512,              0.0097525,              0.0097525,              0.0097525
                      7,                  1.204,                 2.0989,                 1.1655,                 1.1232,                0.63989,                0.47885,                0.52089,                0.35544,                0.62794,                0.46983,                0.50535,                0.29994,                 1.1267,                 2.0337,                 1.0741,                 1.1363,               0.009703,               0.009703,               0.009703
                      8,                 1.1864,                 2.0721,                 1.1355,                 1.1132,                0.67732,                0.49027,                0.54622,                 0.3744,                 0.6661,                0.48517,                0.52856,                0.31781,                 1.1105,                 2.0239,                 1.0437,                 1.1289,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1707,                 2.0435,                 1.0987,                  1.107,                0.68566,                0.52501,                0.57963,                 0.3991,                0.67326,                0.51197,                 0.5602,                0.34175,                 1.0855,                 1.9694,                 1.0017,                 1.1141,               0.009604,               0.009604,               0.009604
                     10,                 1.1544,                 2.0205,                  1.068,                 1.0997,                0.69134,                0.51942,                0.57754,                0.40478,                0.67497,                 0.5085,                 0.5588,                0.34193,                 1.0773,                 1.9561,                0.98212,                 1.1092,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1407,                 2.0012,                 1.0439,                 1.0891,                0.69557,                0.54391,                0.59914,                0.42118,                0.68098,                0.53134,                0.57771,                0.35974,                 1.0531,                 1.9118,                0.93866,                 1.0945,               0.009505,               0.009505,               0.009505
                     12,                 1.1353,                  1.988,                 1.0295,                 1.0864,                0.70172,                0.54323,                0.60326,                0.42393,                0.69271,                0.53827,                0.59065,                0.36468,                 1.0477,                  1.913,                0.94478,                 1.0903,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1258,                 1.9712,                 1.0172,                 1.0845,                0.72841,                 0.5559,                0.62504,                0.44191,                0.71997,                0.54391,                 0.6078,                 0.3752,                 1.0378,                  1.891,                0.91754,                 1.0859,               0.009406,               0.009406,               0.009406
                     14,                 1.1148,                 1.9509,                0.99424,                 1.0778,                0.71998,                0.57099,                0.62638,                0.44442,                 0.7122,                0.55289,                0.60317,                0.37622,                 1.0246,                 1.8762,                 0.9036,                 1.0783,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.113,                  1.952,                0.98642,                 1.0751,                0.72284,                0.57284,                0.62958,                0.44949,                0.72061,                0.56589,                0.61765,                0.38812,                 1.0112,                 1.8568,                0.89602,                 1.0739,               0.009307,               0.009307,               0.009307
                     16,                 1.1084,                 1.9433,                0.97803,                  1.074,                 0.7498,                0.56239,                0.63306,                0.45561,                 0.7464,                0.55295,                0.61686,                0.39196,                 1.0093,                 1.8388,                0.87555,                 1.0715,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1012,                 1.9309,                0.96673,                 1.0684,                0.72596,                0.57685,                0.64012,                0.46475,                0.72141,                0.56299,                0.62321,                 0.3954,                 1.0019,                 1.8347,                0.86609,                 1.0657,               0.009208,               0.009208,               0.009208
                     18,                 1.0928,                 1.9236,                0.95687,                 1.0658,                0.75547,                0.56837,                0.64496,                0.46668,                0.74744,                0.55432,                0.62681,                0.39736,                0.99408,                 1.8273,                0.86268,                 1.0637,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0895,                  1.914,                0.94858,                 1.0647,                0.73111,                0.59001,                0.64942,                0.47214,                0.72634,                0.58367,                0.63187,                0.40221,                0.98695,                 1.8129,                0.84414,                 1.0607,               0.009109,               0.009109,               0.009109
                     20,                 1.0828,                 1.9072,                0.93996,                  1.062,                0.74613,                0.59469,                0.66105,                0.47957,                0.73382,                0.58385,                0.63854,                0.40702,                0.98243,                 1.8045,                0.83981,                  1.058,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0796,                 1.9015,                0.92962,                 1.0583,                0.76474,                0.60778,                0.66882,                0.48643,                0.75795,                0.59383,                0.64859,                0.41254,                0.97466,                 1.7921,                0.82836,                 1.0547,                0.00901,                0.00901,                0.00901
                     22,                 1.0781,                 1.8958,                0.92804,                 1.0577,                0.77256,                0.59166,                 0.6741,                0.49103,                0.76265,                0.58048,                0.65063,                 0.4168,                0.97463,                 1.7881,                0.82294,                 1.0536,              0.0089605,              0.0089605,              0.0089605
